SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1294.10,1298.30,1271.00,1275.10,1276.00,1288.45,433,6391,8205151.00,
500003,AEGIS LOGIS ,A ,Q,282.00,287.70,278.20,281.80,280.50,282.75,403,12158,3442806.00,
500008,AMAR RAJA BA,A ,Q,820.00,820.00,806.10,817.95,818.00,814.85,572,20751,16893978.00,
500009,A.SARABHAI  ,X ,Q,13.77,14.45,12.55,14.45,14.45,13.14,345,179471,2517671.00,
500010,HDFC        ,A ,Q,1822.05,1826.55,1804.90,1813.70,1813.70,1821.75,964,228484,415199949.00,
500012,ANDHRA PETRO,X ,Q,63.50,65.50,63.50,64.90,65.40,65.50,238,56232,3647311.00,
500013,ANSAL INFRAS,B ,Q,21.00,21.00,20.20,20.80,20.55,20.65,122,21167,438002.00,
500014,APPLE FINANC,XT,Q,2.40,2.63,2.40,2.63,2.63,2.51,22,12601,32634.00,
500016,ARUNA HOTEL ,XT,Q,19.32,19.33,19.32,19.33,19.33,18.41,3,725,14007.00,
500020,BOM DYEING  ,A ,Q,259.60,259.80,252.85,254.95,254.95,258.05,2372,312912,79906406.00,
500024,ASSAMCO     ,B ,Q,4.70,4.78,4.62,4.64,4.72,4.80,37,28455,132894.00,
500027,ATUL LTD.   ,A ,Q,2735.80,2737.45,2725.00,2731.85,2725.00,2740.55,26,159,434622.00,
500028,ATV PROJECTS,XT,Q,9.60,10.40,9.60,9.98,9.79,10.06,26,13106,132021.00,
500029,AUTOLITE(I) ,B ,Q,78.15,78.30,75.05,75.65,75.65,78.50,69,4111,311770.00,
500031,BAJAJ ELECT.,A ,Q,623.65,633.00,613.05,622.30,622.30,621.20,1476,71312,44407351.00,
500032,BAJAJHIND   ,A ,Q,10.10,10.29,9.81,9.87,9.87,10.04,652,846861,8422303.00,
500033,FORCE MOTR  ,B ,Q,2864.80,2995.00,2861.00,2930.50,2930.50,2864.80,5471,67414,198593821.00,
500034,BAJFINANCE  ,A ,Q,1935.00,1954.00,1892.30,1924.90,1921.90,1922.30,1835,37122,71325279.00,
500038,BALRAM.CHINI,A ,Q,80.15,80.45,76.90,77.40,77.40,79.85,2387,557603,43561467.00,
500039,BANCO PROD. ,B ,Q,228.00,233.60,225.05,232.15,232.15,226.70,313,17997,4124979.00,
500040,CENTURY TEXT,A ,Q,1209.05,1218.70,1189.40,1212.65,1212.65,1211.80,888,31697,38217904.00,
500041,BANNARI AMAN,B ,Q,1850.00,1850.00,1850.00,1850.00,1850.00,1870.00,6,137,253450.00,
500042,BASF INDIA  ,B ,Q,1994.60,2026.00,1968.60,1980.40,1969.15,1984.05,177,1161,2303791.00,
500043,BATA INDIA  ,A ,Q,779.50,797.15,765.00,792.50,792.50,770.10,1780,64112,50402763.00,
500048,BEML LTD    ,A ,Q,1150.00,1171.70,1150.00,1153.65,1153.65,1148.15,923,27052,31313396.00,
500049,BHARAT ELECT,A ,Q,146.50,146.55,144.60,144.95,144.95,145.45,1083,120461,17491783.00,
500052,BHANSALI ENG,B ,Q,215.90,219.00,210.85,215.75,215.75,212.75,3836,338703,73015299.00,
500055,BHUSH STEEL ,B ,Q,44.50,45.60,44.20,44.65,44.65,44.55,1293,273913,12248612.00,
500059,BINANI IND. ,B ,Q,105.00,105.00,99.35,100.55,100.55,101.50,363,36743,3713631.00,
500060,BIRLACABLE  ,B ,Q,83.15,83.70,80.00,80.45,80.70,82.80,191,15016,1222666.00,
500067,BLUE STAR   ,A ,Q,802.15,808.00,787.65,795.00,795.00,788.45,516,6874,5509319.00,
500068,DISA INDIA  ,X ,Q,5931.00,6098.00,5775.00,6034.50,6034.50,5921.00,13,225,1347856.00,
500069,BNK CAPITAL ,X ,Q,107.55,107.55,99.25,99.25,99.25,101.65,15,6475,655054.00,
500074,BPL LTD.    ,B ,Q,81.25,84.50,79.60,83.35,83.35,80.85,748,117320,9686129.00,
500078,OAL         ,X ,Q,881.55,896.90,842.00,854.60,854.60,887.55,179,6978,6002335.00,
500083,CENTURY EXT ,B ,Q,5.50,5.96,5.50,5.80,5.85,5.80,14,5837,34043.00,
500084,CESC LTD.   ,A ,Q,1014.20,1024.00,1001.95,1016.05,1016.05,1008.10,657,16433,16656228.00,
500085,CHAMBAL FERT,A ,Q,166.95,169.35,165.70,167.05,167.05,166.10,731,95445,15928969.00,
500086,EXIDE IND.  ,A ,Q,235.90,243.75,234.55,241.00,241.00,235.90,1245,98151,23561076.00,
500087,CIPLA LTD.  ,A ,Q,556.05,563.85,556.05,560.65,560.65,557.85,740,51128,28659698.00,
500089,DIC INDIA   ,B ,Q,484.00,484.00,484.00,484.00,484.00,490.00,2,21,10164.00,
500092,CRISIL LTD  ,A ,Q,1900.00,1907.45,1890.70,1896.70,1905.00,1910.00,41,307,583526.00,
500093,CGPOWER     ,A ,Q,81.00,82.00,80.95,81.50,81.50,81.30,200,30549,2486297.00,
500096,DABUR (I)   ,A ,Q,342.00,345.00,336.90,343.75,344.00,337.10,686,27560,9440059.00,
500097,DALMIASUG   ,B ,Q,74.10,74.10,71.20,72.25,72.00,72.95,101,6983,503369.00,
500101,ARVIND Ltd  ,A ,Q,411.00,412.00,403.20,409.40,408.70,407.65,769,80979,33036768.00,
500102,BALARPUR IND,B ,Q,14.50,15.00,14.40,14.84,14.84,14.50,634,248893,3662038.00,
500103,BHEL        ,A ,Q,88.65,90.65,88.40,90.35,90.35,88.65,3058,493039,44287537.00,
500104,HIND.PETRO  ,A ,Q,362.00,362.50,334.70,337.15,337.15,364.75,18639,1170102,398288375.00,
500106,IFCI LTD    ,A ,Q,21.30,21.30,20.90,21.05,21.05,21.20,844,279365,5888771.00,
500108,MAHA.TELE   ,B ,Q,20.50,20.60,20.15,20.20,20.20,20.50,413,280443,5695958.00,
500109,MRPL        ,A ,Q,113.25,114.30,109.40,110.50,111.30,113.00,2080,246895,27340904.00,
500110,CHENNAI PET.,A ,Q,355.00,355.00,330.00,334.80,333.90,350.35,3468,112409,37652187.00,
500111,REL.CAP.    ,A ,Q,455.60,458.00,445.20,447.30,447.30,456.90,3043,261975,117853287.00,
500112,STATE BANK  ,A ,Q,263.25,263.25,256.50,257.30,257.30,263.25,5882,858460,221839837.00,
500113,STEEL AUTH. ,A ,Q,77.20,77.60,76.25,76.90,76.90,76.70,1678,728447,56010403.00,
500114,TITAN       ,A ,Q,964.00,980.00,958.05,978.50,978.50,962.55,3078,132871,128982684.00,
500116,IDBI BANK L ,A ,Q,74.20,74.20,71.35,72.10,72.10,74.20,5370,4054684,294318079.00,
500117,DCW LTD.    ,B ,Q,34.90,35.00,34.25,34.25,34.25,34.90,101,26154,901027.00,
500119,DHAMPUR SUGA,B ,Q,143.00,143.30,135.50,135.75,135.75,140.95,430,50142,6898457.00,
500120,DIAMINES&CHM,X ,Q,95.00,95.00,93.75,93.90,93.90,93.80,9,434,40986.00,
500123,ELANTAS     ,B ,Q,2199.50,2218.30,2188.50,2201.05,2200.00,2185.05,68,518,1139571.00,
500124,DR.REDDY'S  ,A ,Q,2122.00,2135.00,2092.00,2100.10,2100.10,2112.30,1155,25605,53896461.00,
500125,E.I.D.PAR   ,A ,Q,274.90,277.00,272.55,274.50,276.20,273.20,181,6062,1664282.00,
500126,MERCK LTD   ,B ,Q,1545.00,1555.65,1506.00,1514.75,1510.05,1536.45,70,300,457497.00,
500128,ELEC.CASTING,B ,Q,30.10,30.35,29.80,30.15,30.10,30.25,194,53656,1611752.00,
500132,EMPEE SUGARS,XT,Q,3.16,3.16,2.86,3.12,2.86,3.01,24,29015,90569.00,
500133,ESAB INDIA  ,B ,Q,723.75,723.75,716.00,719.45,719.45,721.00,21,264,189961.00,
500135,ESSEL PROP  ,B ,Q,255.45,257.00,251.00,252.50,254.25,255.45,54,1770,448482.00,
500136,ESTER INDUS.,B ,Q,76.85,77.05,73.95,74.25,74.25,76.10,249,51237,3858548.00,
500139,FEDDERELEC  ,B ,Q,70.30,70.30,69.00,69.25,69.20,70.15,47,6963,483775.00,
500141,FERRO ALLOYS,X ,Q,6.40,6.84,6.21,6.80,6.80,6.53,448,331924,2159621.00,
500144,FINOL. CABLE,A ,Q,694.80,740.00,690.00,718.35,718.35,688.00,742,14147,10165541.00,
500147,CMI FPE     ,X ,Q,950.00,967.00,891.00,953.80,931.20,968.80,37,419,400955.00,
500148,UFLEX LTD   ,A ,Q,350.25,355.20,349.00,352.55,351.00,347.15,391,9226,3249761.00,
500150,FOSECO INDIA,B ,Q,1625.00,1625.00,1598.20,1609.30,1620.00,1604.10,27,191,307460.00,
500151,GOLDEN TOB  ,T ,Q,65.00,67.80,62.15,62.20,62.15,64.75,20,2414,155422.00,
500153,GANESH BENZO,X ,Q,83.55,88.50,83.55,87.65,87.65,83.25,1324,274258,23760806.00,
500155,GARDEN SILK ,B ,Q,36.60,36.60,35.40,35.85,35.40,36.60,42,8609,310242.00,
500159,METROGLOBL  ,X ,Q,79.00,83.40,79.00,81.60,83.40,79.00,5,215,17539.00,
500160,GTL LTD.    ,B ,Q,11.75,11.80,11.40,11.60,11.40,11.85,55,6309,73644.00,
500163,GODFREY PH  ,A ,Q,893.25,928.75,876.20,901.10,901.10,885.35,1902,37222,33783239.00,
500164,GODREJ IND  ,A ,Q,564.60,566.00,553.80,559.45,557.50,562.40,676,21680,12139818.00,
500165,KANSAI NERO ,A ,Q,498.90,498.90,489.05,491.50,491.50,490.60,362,5102,2515158.00,
500166,GOODRICKE   ,X ,Q,343.05,352.90,342.05,350.50,352.00,345.10,98,5887,2049310.00,
500168,GOODYEAR (I),B ,Q,1191.60,1217.00,1190.15,1194.80,1198.80,1203.70,303,2676,3199256.00,
500170,GTN INDUS   ,B ,Q,13.65,14.00,13.65,13.90,13.75,14.20,10,2748,37985.00,
500171,GHCL LTD    ,A ,Q,281.65,282.55,275.60,277.65,278.20,281.55,192,7201,1998807.00,
500173,GUJ.FLOURO  ,B ,Q,820.15,821.00,811.00,819.80,820.00,812.15,83,1495,1222048.00,
500174,GUJ.LEASE   ,T ,Q,1.52,1.55,1.52,1.55,1.55,1.60,3,325,496.00,
500179,HCL INFOSYS ,A ,Q,53.25,53.90,52.35,53.15,53.15,52.75,1189,336800,17888107.00,
500180,HDFC BANK   ,A ,Q,1922.00,1922.00,1904.85,1916.25,1918.00,1919.10,926,20828,39862457.00,
500182,HEROMOTOCO  ,A ,Q,3750.00,3760.00,3686.00,3728.80,3760.00,3720.80,709,78843,291935113.00,
500183,HIMACHAL FUT,A ,Q,27.90,28.65,27.50,28.15,28.15,27.00,3190,2547225,71627493.00,
500184,HSCL        ,B ,Q,149.50,149.50,147.00,148.00,148.00,148.80,807,97954,14510555.00,
500185,HIND.CONSTN.,A ,Q,25.40,25.40,24.80,25.05,25.05,25.20,938,769065,19248705.00,
500186,HIND.OIL EXP,B ,Q,125.00,127.70,123.70,124.85,124.85,122.40,2717,405729,51031555.00,
500187,HSIL        ,B ,Q,405.05,413.00,400.00,403.25,403.25,403.90,114,1932,788934.00,
500188,HINDUS.ZI   ,A ,Q,316.90,320.00,315.45,318.35,318.35,315.30,1377,115195,36615459.00,
500189,HINDUJA VENT,B ,Q,828.00,832.85,812.65,817.80,812.65,832.85,47,1411,1169162.00,
500191,HMT LTD.    ,Z ,Q,28.05,30.00,28.05,28.70,28.70,29.25,12,408,11852.00,
500192,PRAG BOSIMI ,XT,Q,3.80,3.84,3.48,3.66,3.66,3.66,12,3110,11307.00,
500193,HOTEL LEELA.,B ,Q,19.35,19.35,18.65,18.95,18.95,18.95,206,53060,1006531.00,
500199,I.G.PETRO   ,B ,Q,774.35,774.35,757.85,765.75,762.15,764.10,332,4487,3437747.00,
500201,IND.GLYCOLS ,B ,Q,539.50,539.50,525.00,527.30,528.55,536.10,988,40592,21510605.00,
500206,MARGO FIN   ,XT,Q,15.20,15.20,15.20,15.20,15.20,16.00,8,600,9120.00,
500207,INDO RAMA   ,B ,Q,34.50,34.50,31.70,32.75,32.90,34.30,121,20470,669441.00,
500209,INFOSYS LTD ,A ,Q,1118.00,1131.75,1117.70,1123.90,1123.90,1114.15,3443,340196,381801169.00,
500210,INGERSOLL   ,B ,Q,694.55,694.55,675.00,682.65,682.45,696.30,179,1937,1325897.00,
500211,INSILCO LTD.,X ,Q,24.70,24.70,23.65,24.40,24.40,24.65,20,3619,86933.00,
500212,INTEG.FIN.SE,XT,Q,39.90,39.90,39.90,39.90,39.90,38.00,1,10,399.00,
500213,INTER.TRAVEL,X ,Q,191.30,206.00,191.30,202.20,200.10,191.30,109,5257,1044894.00,
500214,ION EXCHANGE,XT,Q,512.00,512.00,500.00,505.00,505.95,507.90,50,2272,1147666.00,
500215,AGRO TECH FO,B ,Q,649.05,650.00,645.05,647.55,647.55,650.30,10,56,36287.00,
500219,JAIN IRRIG  ,A ,Q,113.00,114.20,112.00,112.65,112.65,113.55,1167,302611,34117161.00,
500220,JASCH INDUST,X ,Q,77.60,79.20,77.00,77.60,78.00,77.35,112,16188,1259501.00,
500223,JCT LTD     ,X ,Q,3.05,3.08,2.96,3.00,3.00,3.04,148,227043,687113.00,
500227,JINDAL POLYF,B ,Q,331.60,333.40,324.05,325.90,325.00,331.40,107,3239,1059035.00,
500228,JSWSL       ,A ,Q,316.00,318.50,310.50,312.25,312.25,311.30,3744,329950,103942380.00,
500231,UMANG DAIR  ,B ,Q,91.00,95.10,89.15,90.45,90.45,87.70,534,44721,4134457.00,
500233,KAJARIA CER.,A ,Q,559.00,565.00,556.25,562.35,563.95,557.10,277,8524,4787641.00,
500234,KAKATIYA CEM,B ,Q,272.20,272.80,267.90,269.05,269.05,272.70,106,4383,1183156.00,
500235,KALYANI STEL,B ,Q,327.75,327.75,317.55,322.20,322.20,325.35,283,10326,3322797.00,
500238,WHIRLPOOL   ,A ,Q,1531.20,1570.00,1522.55,1549.35,1555.00,1541.30,463,2987,4607963.00,
500239,KG DENIM    ,X ,Q,50.25,50.25,49.00,50.10,50.10,48.95,65,4139,207210.00,
500240,KINETIC ENG.,XT,Q,74.55,74.70,68.30,74.70,74.70,71.15,44,6774,503796.00,
500241,KIRL.BROS.  ,B ,Q,322.50,325.00,317.75,323.45,322.55,320.60,151,3896,1253672.00,
500243,KIRL INDUS  ,B ,Q,1217.05,1247.70,1217.05,1230.00,1230.00,1233.00,6,31,37843.00,
500245,KIRL.FERROUS,B ,Q,91.65,91.65,87.20,87.95,87.75,88.75,376,140709,12435922.00,
500247,KOTAK MAH.BK,A ,Q,1115.00,1128.15,1112.20,1125.70,1125.70,1113.60,684,20366,22816824.00,
500249,KSB PUMPS   ,B ,Q,798.00,798.00,781.00,784.65,781.55,790.00,162,3303,2603807.00,
500250,L.G.BALKRISH,B ,Q,1169.05,1190.00,1153.00,1159.50,1155.00,1168.25,56,359,420476.00,
500251,TRENT LTD.  ,A ,Q,355.00,356.30,350.00,350.10,351.00,353.40,406,14600,5121099.00,
500252,LAKSHMI MACH,A ,Q,7590.00,7750.00,7520.00,7600.30,7600.30,7565.50,341,1113,8483345.00,
500253,LIC HOUS.FIN,A ,Q,560.75,562.00,550.40,558.20,557.00,560.75,1298,63022,35001062.00,
500254,UTTAMVALUE  ,T ,Q,0.27,0.27,0.26,0.26,0.26,0.27,919,8767476,2283962.00,
500255,LML LTD.    ,B ,Q,6.75,6.75,6.50,6.52,6.52,6.70,65,27323,179713.00,
500257,LUPIN LTD.  ,A ,Q,789.80,798.40,781.20,789.90,789.90,788.95,1787,72822,57483517.00,
500259,LYKA LABS   ,B ,Q,49.05,49.20,48.25,48.50,48.65,49.80,95,8877,432144.00,
500260,RAMCOCEM    ,A ,Q,805.00,814.90,792.35,806.75,809.75,811.85,371,5484,4402360.00,
500264,MAFATLAL IND,X ,Q,272.05,280.00,272.05,275.30,275.30,280.10,15,190,52492.00,
500265,MAH.SEAMLESS,B ,Q,465.35,469.05,460.00,461.90,462.00,462.70,63,6694,3110149.00,
500266,MAH.SCOOTER ,B ,Q,2508.85,2508.85,2475.00,2484.45,2475.00,2492.00,39,1094,2728079.00,
500267,MAJESTIC AUT,XT,Q,165.40,165.55,160.00,165.55,165.55,157.70,22,1591,261858.00,
500268,MANALI PETRO,B ,Q,35.65,35.65,34.65,35.00,35.00,35.30,197,51702,1810194.00,
500271,MFSL        ,A ,Q,462.00,463.00,454.65,455.90,455.00,456.95,226,8966,4101874.00,
500279,MIRC ELECT  ,B ,Q,52.00,52.25,50.90,51.45,51.45,51.90,444,62050,3189213.00,
500280,CENTURY ENKA,B ,Q,359.00,362.00,354.85,355.45,356.90,363.35,177,6150,2195430.00,
500284,LORDS CHLORO,XT,Q,61.40,61.40,59.00,60.95,60.95,59.65,24,647,39640.00,
500285,SPICEJET LTD,B ,Q,134.80,135.95,133.00,135.05,135.05,136.25,4022,1003580,135111295.00,
500288,MOREPEN LAB.,B ,Q,35.25,36.50,35.05,36.15,36.15,35.15,700,324280,11596158.00,
500290,MRF LTD.    ,A ,Q,76959.90,76979.00,76251.00,76533.10,76533.10,76986.25,165,203,15548467.00,
500292,HEIDEL CEM  ,A ,Q,155.00,159.50,151.45,158.20,157.50,155.95,485,38926,6054817.00,
500294,NCC         ,A ,Q,132.25,132.25,125.00,127.85,127.85,131.40,1261,266000,34374517.00,
500295,VEDL        ,A ,Q,289.20,297.75,287.50,296.65,296.65,284.30,10271,1193550,350307986.00,
500296,NAHAR SPG.  ,B ,Q,95.75,97.95,94.00,97.55,97.95,97.15,76,14319,1371015.00,
500298,NAT.PEROXIDE,B ,Q,2620.00,2620.00,2511.00,2544.95,2575.00,2591.95,190,1938,4955635.00,
500300,GRASIM IND. ,A ,Q,1087.80,1087.80,1062.00,1069.95,1068.15,1082.10,662,10349,11070439.00,
500302,PEL         ,A ,Q,2622.00,2630.00,2587.50,2599.00,2590.00,2620.25,946,12779,33233558.00,
500304,NIIT LTD.   ,A ,Q,109.60,109.60,106.00,106.75,106.75,108.20,298,46095,4937807.00,
500306,JAYKAY      ,X ,Q,7.75,7.82,7.05,7.82,7.82,6.52,106,150775,1174432.00,
500307,NIRLON      ,B ,Q,206.00,206.00,200.00,200.30,200.00,205.10,9,59,12042.00,
500312,ONGC CORPN  ,A ,Q,182.00,185.55,180.30,181.70,181.70,180.10,4932,638849,116844151.00,
500313,OIL COUNTRY ,B ,Q,32.00,32.20,31.50,31.60,31.50,31.90,73,19552,623918.00,
500314,ORIENT HOTEL,B ,Q,45.10,45.10,44.70,44.85,45.00,44.90,30,3096,139000.00,
500315,ORINTAL BANK,A ,Q,101.00,101.15,98.90,99.45,99.05,101.10,869,211698,21110955.00,
500317,OSWAL AGRO. ,T ,Q,13.05,13.40,12.75,13.15,13.15,13.16,26,7456,97113.00,
500319,INDIAN SUCRO,XT,Q,25.90,27.50,25.85,27.45,27.45,26.40,14,7405,191865.00,
500322,PANYAM CEMEN,X ,Q,46.85,46.85,45.00,45.25,45.25,45.65,43,3400,154379.00,
500325,RELIANCE    ,A ,Q,920.10,931.00,916.65,929.05,929.05,916.45,7573,442774,410757218.00,
500327,PILITA      ,T ,Q,13.20,13.20,13.00,13.09,13.10,13.11,10,3562,46740.00,
500329,PENTAMED.G  ,X ,Q,0.56,0.59,0.56,0.56,0.56,0.56,34,79003,44973.00,
500330,RAYMOND     ,A ,Q,1048.00,1048.00,1025.15,1042.50,1042.50,1038.40,758,25203,26183909.00,
500331,PIDILITE    ,A ,Q,1010.45,1010.45,983.20,985.00,985.00,997.00,1066,22690,22475649.00,
500333,PIX TRANS   ,X ,Q,141.30,141.30,135.05,137.30,137.00,141.30,141,7146,983763.00,
500335,BIRLA CORPN.,B ,Q,773.00,786.80,763.05,771.50,774.40,779.10,334,11745,9114284.00,
500336,SURYA ROSHNI,B ,Q,417.60,420.50,408.20,415.65,415.65,417.30,462,24376,10099891.00,
500337,PRIME SECUR.,B ,Q,45.30,47.80,45.30,46.20,46.10,46.65,155,17323,809365.00,
500338,PRISM CEMENT,B ,Q,119.15,119.50,115.90,116.55,116.30,118.00,694,83123,9745520.00,
500339,RAIN        ,A ,Q,376.10,377.25,367.25,370.05,370.05,375.45,2346,215614,80022116.00,
500343,AMJLAND     ,B ,Q,24.95,24.95,24.95,24.95,24.95,24.50,3,3000,74850.00,
500346,PUN.COMMUNI.,B ,Q,37.50,40.00,37.00,38.85,40.00,36.55,27,1770,67124.00,
500350,RSWM  LTD   ,B ,Q,337.00,337.00,332.00,332.80,332.00,334.35,26,479,159852.00,
500354,RAJSH.SUGAR ,B ,Q,35.00,35.35,34.20,34.60,34.70,35.70,25,2348,81707.00,
500355,RALLIS INDIA,A ,Q,228.00,231.75,227.05,227.65,227.65,227.85,275,13156,3012263.00,
500356,RAMANEWS    ,B ,Q,27.45,27.50,26.00,26.45,26.40,27.30,84,18589,492790.00,
500357,RAMA PAPER  ,XT,Q,9.60,9.60,9.60,9.60,9.60,10.00,1,25,240.00,
500360,RAPICUT CARB,X ,Q,70.00,71.20,69.50,69.65,70.00,70.50,37,3222,225142.00,
500365,RMGALLOY    ,XT,Q,16.63,16.63,16.63,16.63,16.63,15.84,11,3830,63692.00,
500366,ROLTA (I)   ,B ,Q,62.00,62.20,61.45,61.55,61.55,61.95,380,57781,3569187.00,
500367,RUBFILA INT.,X ,Q,79.20,79.40,77.15,77.80,77.95,79.10,73,7812,608935.00,
500368,RUCHI SOYA  ,B ,Q,16.80,16.85,16.50,16.55,16.60,16.70,276,168468,2810076.00,
500370,SALORA INT. ,B ,Q,41.10,45.20,41.10,44.40,44.40,45.00,4,9000,387600.00,
500371,SAMTEL IND. ,XT,Q,1.80,1.80,1.80,1.80,1.80,1.80,10,683641,1230553.00,
500378,JINDAL SAW  ,A ,Q,125.65,128.50,125.65,127.50,127.50,125.40,771,123252,15682845.00,
500380,JK LAKSHMI  ,A ,Q,434.65,436.00,430.00,433.85,431.00,436.95,68,1134,491046.00,
500387,SHREE CEMENT,A ,Q,16867.80,16959.95,16752.85,16895.40,16950.00,16980.70,162,472,7973951.00,
500388,SHREE KRISHN,XT,Q,27.00,27.00,27.00,27.00,27.00,28.40,7,1989,53703.00,
500390,REL INFRA   ,A ,Q,465.00,465.00,451.10,455.20,455.20,462.40,1725,134573,61257434.00,
500399,STEELCO GUJ.,X ,Q,6.80,7.00,6.70,6.70,6.70,6.85,18,3022,20743.00,
500400,TATA POWER  ,A ,Q,87.15,88.00,85.90,86.75,86.75,87.10,941,218166,18927706.00,
500402,SPMLINFRA   ,B ,Q,106.00,110.00,103.40,104.45,103.55,109.35,79,3612,383743.00,
500403,SUNDARAM FAS,A ,Q,590.60,602.30,584.15,595.10,592.35,587.10,648,9896,5877572.00,
500404,SUNFLAG IRON,B ,Q,85.95,91.30,85.25,89.30,89.30,85.70,1747,280233,24990381.00,
500405,SUPREME PET ,B ,Q,349.05,351.50,344.80,350.35,346.20,349.95,205,4769,1670398.00,
500407,SWARAJ ENGIN,B ,Q,2050.00,2060.00,2010.00,2035.50,2038.00,2018.25,112,750,1529322.00,
500408,TATA ELXSI  ,A ,Q,1038.30,1047.60,1026.80,1045.25,1045.25,1033.05,1290,40635,42299744.00,
500410,ACC LTD     ,A ,Q,1534.10,1540.80,1521.05,1535.60,1536.50,1539.95,869,18096,27719974.00,
500411,THERMAX     ,A ,Q,1127.00,1142.00,1104.20,1134.90,1130.05,1121.45,233,906,1020063.00,
500412,THIRUMALAI  ,B ,Q,1994.75,1994.90,1948.00,1963.85,1965.00,1974.55,428,5519,10897295.00,
500413,THOMAS COOK ,B ,Q,276.00,277.10,270.20,272.00,273.00,276.20,1007,1932510,530392666.00,
500414,TIMEX GROUP ,XT,Q,45.60,49.25,45.60,49.25,49.25,46.95,99,47570,2316692.00,
500418,TOKYO PLAST ,B ,Q,97.50,97.70,96.00,96.40,96.05,99.45,22,656,63265.00,
500420,TORRENT PHAR,A ,Q,1310.50,1330.40,1310.50,1324.75,1326.65,1304.95,484,6044,8001073.00,
500422,TRANSCHEM   ,X ,Q,36.00,37.00,34.00,36.00,35.50,36.00,21,395,14102.00,
500425,AMBUJA CEME ,A ,Q,235.05,237.95,233.80,237.30,237.30,235.05,666,48580,11474497.00,
500426,UTLINDS     ,XT,Q,8.50,8.90,8.15,8.53,8.53,8.55,20,8497,70196.00,
500429,UNIPHOS ENT.,B ,Q,95.00,95.00,82.00,83.60,83.50,86.45,22,2425,203844.00,
500439,VARD HOLDNG ,B ,Q,4200.00,4200.00,4142.00,4142.00,4142.00,4167.55,2,14,58220.00,
500440,HINDALCO    ,A ,Q,234.10,236.00,231.20,234.20,234.20,230.35,4693,910142,212741399.00,
500444,WEST COAS PA,B ,Q,273.80,275.90,272.50,273.90,273.55,276.90,85,3440,941775.00,
500449,HIND.ORG.CHM,B ,Q,26.00,26.45,25.55,25.70,25.55,25.95,114,32230,837409.00,
500450,MPIL CORP L ,X ,Q,200.00,200.00,200.00,200.00,200.00,210.50,9,20,4000.00,
500456,PAS.ACRYLON ,X ,Q,29.40,30.00,28.55,28.70,28.70,28.95,590,211398,6167228.00,
500458,KORE        ,XT,Q,3.75,3.75,3.60,3.60,3.60,3.60,2,20,73.00,
500459,PROCTER &GAM,A ,Q,9578.90,9750.05,9570.50,9669.30,9600.00,9588.05,81,134,1297146.00,
500460,MUKAND LTD. ,B ,Q,66.00,67.70,65.40,67.05,67.05,66.20,77,10235,681434.00,
500464,UCAL FUEL   ,B ,Q,260.95,264.45,258.10,260.25,260.25,261.10,403,11625,3025813.00,
500467,HARR.MALAYAL,B ,Q,82.25,91.05,81.50,91.05,91.05,82.80,400,45791,4066153.00,
500469,FEDERAL BANK,A ,Q,97.30,99.65,96.30,99.15,99.15,97.00,2907,655522,64426927.00,
500470,TATA STEEL  ,A ,Q,609.00,610.00,600.50,607.70,607.70,601.70,6893,514667,312018491.00,
500472,SKF INDIA   ,A ,Q,1866.00,1897.00,1865.00,1886.70,1886.70,1865.00,117,434,816023.00,
500477,ASHOK LEYL. ,A ,Q,145.50,146.45,144.50,144.85,144.85,145.30,2459,775544,112561093.00,
500480,CUMMINS (I) ,A ,Q,756.40,765.85,751.00,761.65,759.50,756.45,547,11808,8961405.00,
500483,TATA COMM   ,A ,Q,654.05,660.90,649.70,659.70,659.00,653.70,273,11255,7394908.00,
500488,ABBOTT (I)  ,B ,Q,5785.00,5810.00,5730.00,5780.80,5761.00,5752.95,74,296,1711540.00,
500490,BAJ HOLD INV,A ,Q,2640.55,2662.65,2617.05,2640.05,2630.00,2637.50,123,714,1885578.00,
500493,BHARAT FORGE,A ,Q,735.00,741.40,727.95,731.10,731.10,730.55,1763,79466,58305961.00,
500495,ESCORTS LTD.,A ,Q,889.55,907.50,888.00,905.80,905.80,886.95,2557,142176,128043764.00,
500500,HIND.MOTORS ,T ,Q,8.30,8.30,8.00,8.04,8.04,8.27,86,25933,209714.00,
500510,LARSEN & TOU,A ,Q,1359.00,1359.00,1340.00,1351.40,1345.10,1348.55,3654,75823,102325882.00,
500520,MAH & MAH   ,A ,Q,780.00,789.55,773.45,786.75,789.00,779.30,1619,43818,34312796.00,
500530,BOSCH LTD   ,A ,Q,19828.25,19974.35,19600.00,19888.65,19851.05,19764.80,335,724,14335398.00,
500540,PREMIER LTD ,B ,Q,23.55,24.30,23.05,23.50,23.50,24.15,32,1267,30217.00,
500547,BHARAT PET. ,A ,Q,448.70,450.30,415.45,417.50,417.50,450.95,10390,705106,299263506.00,
500550,SIEMENS LTD.,A ,Q,1112.00,1119.80,1103.25,1107.00,1107.00,1115.15,317,5249,5816554.00,
500570,TATA MOTORS ,A ,Q,354.10,357.10,350.70,355.30,355.30,353.40,4420,373758,132288130.00,
