SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523840,INN.TECH.PAC,X ,Q,78.80,78.95,76.35,76.45,76.45,78.50,29,4234,330561.00,
523842,SUPER TANNER,X ,Q,5.59,5.86,5.32,5.82,5.82,5.59,13,566,3087.00,
523850,AXTEL INDUS.,X ,Q,95.70,102.00,95.70,99.65,100.00,101.00,16,1310,131965.00,
523878,TOTAL EXPORT,XT,Q,1.36,1.36,1.36,1.36,1.36,1.30,4,321,436.00,
524000,MAGMA FIN   ,B ,Q,161.40,161.40,157.40,160.35,160.05,159.50,522,31183,4988876.00,
524013,HIND.FLUROCA,T ,Q,11.10,11.10,10.90,11.10,11.10,11.10,6,617,6751.00,
524019,KINGFA      ,T ,Q,999.75,1005.00,987.00,1002.60,1005.00,1001.00,28,1189,1188467.00,
524037,RAMA PHOSPH ,X ,Q,83.20,83.20,83.20,83.20,83.20,83.30,3,600,49920.00,
524038,VENLON ENTR ,XT,Q,4.70,4.70,4.70,4.70,4.70,4.49,1,1,4.00,
524051,POLYPLEX    ,B ,Q,478.00,489.95,477.10,482.10,482.10,475.80,11,181,86985.00,
524075,ALBERT DAVID,T ,Q,374.40,386.00,362.00,385.00,385.00,380.00,16,1497,561218.00,
524080,HAR.LEATHER ,XT,Q,44.00,44.00,42.50,42.50,42.50,44.50,3,860,37090.00,
524084,MONSANTO (I),A ,Q,2680.55,2750.00,2655.10,2711.10,2720.25,2684.75,285,2121,5740188.00,
524091,ACRYCIL LTD.,X ,Q,609.90,609.90,585.25,590.70,589.20,584.80,63,4185,2474034.00,
524109,KABRA EXTR  ,B ,Q,123.25,124.40,120.95,123.45,123.45,123.50,40,2772,340704.00,
524129,VINYL CHEM  ,B ,Q,109.00,109.00,107.60,107.80,107.80,109.05,57,4458,481562.00,
524136,PEE CEE COSM,X ,Q,180.00,180.00,161.55,170.30,171.90,173.40,19,438,73544.00,
524164,IOL CHEM PH ,B ,Q,88.60,90.20,87.55,89.15,89.15,88.55,483,40367,3593626.00,
524174,KESAR PETRO ,X ,Q,39.00,39.40,38.30,38.70,38.70,39.05,673,158558,6151714.00,
524200,VINATI ORG. ,B ,Q,920.70,934.45,911.00,915.25,915.00,913.85,89,1174,1082465.00,
524202,LACTOSE(I)  ,XT,Q,86.00,90.00,85.00,89.60,89.60,87.30,57,5385,465477.00,
524204,TEESTA AGRO ,XT,Q,34.35,34.35,34.35,34.35,34.35,32.80,2,200,6870.00,
524208,AARTI INDUST,B ,Q,1181.65,1222.20,1181.65,1218.05,1210.00,1188.90,490,6686,8066551.00,
524212,WANBURY LTD ,T ,Q,35.50,36.00,34.30,34.40,34.40,35.75,21,3387,118179.00,
524218,RESONANCE   ,X ,Q,31.00,31.80,30.50,31.00,31.00,30.80,12,4329,134277.00,
524226,GUJ AMB EXP ,B ,Q,257.25,261.00,257.10,257.50,259.00,258.00,166,7168,1851668.00,
524230,RASHTR.CHEM.,A ,Q,79.25,79.60,78.60,79.00,79.00,78.20,1617,352209,27860682.00,
524280,KOPRAN LTD. ,B ,Q,63.50,64.00,62.70,63.00,62.85,63.45,102,11472,723493.00,
524288,AIMCO PESTI.,X ,Q,181.20,189.80,180.00,187.05,188.00,185.80,38,1663,304706.00,
524324,SEYAIND     ,B ,Q,632.00,641.45,625.10,633.75,631.00,637.90,84,7480,4735451.00,
524330,JAYANT AGRO ,B ,Q,330.05,335.00,328.15,332.90,335.00,329.95,25,354,117513.00,
524332,BCLIL       ,X ,Q,158.95,159.95,152.75,153.65,154.00,156.10,251,39845,6197626.00,
524336,SH.HARI CHEM,X ,Q,35.10,40.75,34.65,40.75,40.75,37.60,5,198,7367.00,
524342,INDOBORAXC  ,X ,Q,544.90,544.90,500.00,522.20,523.00,525.95,75,1658,859842.00,
524348,AARTI DRUGS ,B ,Q,585.00,587.65,566.90,573.10,569.00,582.75,59,583,336560.00,
524370,BODAL CHEM  ,B ,Q,137.70,137.80,129.70,130.45,130.45,137.10,1230,102179,13607764.00,
524372,ORCHIDPHAR  ,Z ,Q,13.65,13.65,12.80,13.10,13.10,13.35,99,24499,316919.00,
524394,VIMTA LABS  ,T ,Q,187.00,192.70,186.40,192.20,192.70,190.00,20,1007,190500.00,
524396,BIOFIL CHEM ,T ,Q,15.85,15.85,14.50,15.65,15.65,15.10,8,1630,24203.00,
524400,ISHITA DRUGS,XT,Q,20.20,20.20,20.20,20.20,20.20,20.25,3,116,2343.00,
524404,MARKSANS    ,A ,Q,35.15,35.60,35.00,35.10,35.10,35.30,407,207357,7306372.00,
524408,UNIV.STARCH ,XT,Q,32.00,32.90,32.00,32.90,32.90,31.35,3,508,16706.00,
524412,AAREY DRUGS ,X ,Q,58.05,61.20,58.05,59.00,58.75,58.50,637,474396,28195374.00,
524414,NORRIS MEDI.,XT,Q,24.60,24.62,24.00,24.62,24.62,23.45,19,1902,46671.00,
524440,CAMEX LTD   ,XT,Q,38.60,38.60,35.80,36.15,36.15,36.95,13,7951,304771.00,
524444,KAVITIND    ,X ,Q,20.50,21.95,20.20,21.95,21.95,20.00,62,33414,691394.00,
524470,SYNCOM FORM.,X ,Q,1.06,1.06,1.06,1.06,1.06,1.01,24,54224,57477.00,
524480,RIDHI SIDHI ,X ,Q,630.00,630.00,620.10,629.95,630.00,625.00,29,1315,821813.00,
524494,IPCA LAB LTD,A ,Q,685.00,708.80,665.95,693.95,693.95,681.70,2836,43249,29911206.00,
524500,KILITCH DRUG,B ,Q,91.00,91.00,89.45,89.50,89.50,91.10,35,639,57623.00,
524506,CORAL LAB.  ,X ,Q,604.80,605.00,584.50,589.60,588.00,599.20,22,722,432326.00,
524518,KREBS BIOCHM,T ,Q,179.85,179.85,179.85,179.85,179.85,176.00,1,5,899.00,
524520,KMC SHIL    ,X ,Q,23.00,23.85,22.15,23.55,23.80,22.75,262,78516,1817493.00,
524522,LAFFANS PETR,X ,Q,26.50,26.50,25.50,25.50,25.50,26.50,2,10,256.00,
524542,SUKJIT STRCH,X ,Q,513.00,520.00,500.45,517.10,511.00,518.20,28,6608,3415451.00,
524558,NEULAND LAB.,B ,Q,767.80,775.90,761.00,769.85,769.85,769.05,51,656,502733.00,
524570,PODDAR PIGM.,B ,Q,285.55,289.95,283.05,287.50,286.00,286.90,56,2243,642288.00,
524576,VIVID IND   ,X ,Q,48.00,48.60,47.15,48.25,48.00,48.85,9,1640,78813.00,
524580,PRIYA LTD.  ,X ,Q,46.95,46.95,43.60,45.10,45.10,45.80,5,56,2514.00,
524582,TIRUPATI STA,XT,Q,36.30,38.10,36.30,38.10,38.10,36.30,14,1376,52305.00,
524592,JD ORGOCHEM ,X ,Q,3.43,3.79,3.43,3.79,3.79,3.61,12,28600,108363.00,
524594,ASHOK-ALCO  ,X ,Q,105.05,109.00,105.05,106.30,107.95,108.65,17,448,47943.00,
524598,AKSHARCHEM I,B ,Q,610.00,613.00,600.00,609.85,608.10,609.30,33,567,343538.00,
524606,BERYL DRUGS ,XT,Q,12.00,13.00,12.00,12.10,12.10,12.50,8,957,11939.00,
524610,RATHI GRAPH.,X ,Q,11.99,12.40,11.95,12.31,12.37,11.50,16,7880,94998.00,
524624,GAGAN GASES ,XT,Q,8.10,8.10,8.10,8.10,8.10,8.51,1,1,8.00,
524632,SHUKRAPHAR  ,X ,Q,70.00,71.35,69.00,71.35,71.35,68.00,5,110,7768.00,
524634,ALU FLUORIDE,X ,Q,108.50,110.30,98.05,106.90,106.90,108.10,76,3753,395147.00,
524640,ARCHITORG   ,X ,Q,42.95,42.95,40.00,40.25,40.00,41.60,24,4390,176961.00,
524642,SIKOZY REAL ,Z ,Q,0.43,0.43,0.43,0.43,0.43,0.43,3,1500,645.00,
524648,INDO AMINES ,X ,Q,90.30,90.30,87.00,87.10,87.00,87.30,34,1550,135588.00,
524652,IND.SWIFT LT,B ,Q,7.05,7.45,6.93,7.34,7.34,7.38,12,7352,51254.00,
524654,NATURAL CAPS,X ,Q,116.10,118.40,112.85,118.25,118.25,115.00,5,150,17263.00,
524661,WELCURE DRUG,XT,Q,1.40,1.40,1.40,1.40,1.40,1.41,1,200,280.00,
524663,BH.IMMUN&BIO,X ,Q,22.90,22.90,22.00,22.50,22.05,22.40,57,17961,403017.00,
524667,SOTL        ,B ,Q,1463.75,1483.95,1462.10,1472.25,1482.40,1488.65,5,12,17670.00,
524669,HESTER BISC ,B ,Q,1735.00,1758.30,1730.00,1740.60,1730.00,1752.50,17,89,155040.00,
524675,KABSONS INDU,XT,Q,4.91,4.91,4.91,4.91,4.91,5.16,2,200,982.00,
524687,BASANT AGRO ,X ,Q,7.21,7.47,7.18,7.39,7.37,7.39,53,17518,127951.00,
524689,PARENT.DRUGS,T ,Q,18.75,18.75,17.15,17.15,17.15,18.00,13,8890,155538.00,
524699,KILBURN CHEM,X ,Q,101.15,104.00,101.10,104.00,104.00,103.00,7,260,26585.00,
524703,SANDU PHARMA,XT,Q,34.20,35.25,34.00,34.70,34.60,34.50,9,225,7777.00,
524709,NACLIND     ,B ,Q,43.50,43.50,41.85,41.95,41.95,44.05,49,9086,387572.00,
524711,VISTA PHARMA,X ,Q,39.00,39.70,39.00,39.70,39.70,39.70,16,3110,122480.00,
524715,SUN PHARMA. ,A ,Q,509.00,523.30,509.00,520.70,520.70,508.00,6487,439981,227839202.00,
524717,TITAN BIOTEC,XT,Q,62.55,65.60,62.55,65.60,65.60,62.50,2,59,3705.00,
524727,SDL         ,X ,Q,41.75,41.75,37.00,38.00,37.00,36.25,33,2490,97335.00,
524731,JENBURKT PH.,X ,Q,753.95,756.00,731.25,755.75,755.75,738.05,79,2335,1742850.00,
524735,HIKAL LTD.  ,B ,Q,237.90,239.45,232.70,237.85,239.00,235.65,481,21411,5081866.00,
524742,CAPLIN POINT,B ,Q,601.25,602.95,577.90,590.15,585.60,604.05,201,3035,1799670.00,
524748,LINK PHARMA ,X ,Q,34.50,37.20,34.50,36.00,36.00,35.00,13,1285,46660.00,
524752,COMBAT DRUGS,XT,Q,21.10,21.10,21.10,21.10,21.10,20.10,3,1101,23231.00,
524758,WINTAC LTD  ,XT,Q,218.50,218.50,207.60,218.45,218.45,218.50,16,199,41537.00,
524764,NUTRA       ,X ,Q,32.50,32.50,30.65,30.95,31.70,32.25,68,22751,713641.00,
524768,EMMESSAR BIO,X ,Q,34.10,34.10,29.85,31.50,31.45,33.00,25,2237,68319.00,
524774,NGL FINE CHM,X ,Q,458.25,464.00,455.60,460.50,463.00,463.50,32,3610,1654833.00,
524790,EVEREST ORG.,X ,Q,112.00,117.85,111.00,116.75,116.75,114.30,6,103,11658.00,
524804,AUROB.PHARMA,A ,Q,608.00,619.00,604.50,617.20,617.20,607.90,2103,127690,78116414.00,
524808,PHYTOCHEM I.,X ,Q,62.15,66.50,61.20,62.70,62.70,63.90,47,2423,151980.00,
524816,NATCO PHARM ,A ,Q,790.55,790.55,768.00,771.10,771.10,782.75,602,17642,13664317.00,
524818,DYNAMIC IND.,X ,Q,89.00,89.00,85.10,86.35,86.00,86.45,19,1122,98008.00,
524820,PANAMA PETRO,B ,Q,211.50,212.15,209.95,211.40,211.00,215.60,56,1698,358646.00,
524824,BAL PHARMA  ,B ,Q,85.75,87.75,85.15,87.50,87.50,86.45,175,7485,644602.00,
524828,BDH INDUS.  ,XT,Q,73.40,73.40,71.10,72.00,72.00,72.00,11,982,70766.00,
526001,JAUS POLYMER,XT,Q,25.55,25.55,25.40,25.40,25.45,25.25,5,2559,65154.00,
526027,CUBEX TUBING,T ,Q,21.65,21.65,21.65,21.65,21.65,20.65,11,1789,38731.00,
526043,POLYMECH.MCH,X ,Q,42.55,42.55,40.60,40.60,40.65,39.90,13,754,30821.00,
526081,SCAGRO      ,XT,Q,3.38,3.44,3.38,3.38,3.38,3.38,4,100,341.00,
526093,SATVAH.ISPAT,B ,Q,15.45,18.70,14.75,18.70,18.70,15.60,460,136947,2480171.00,
526095,RAVILEELA GR,P ,Q,20.80,20.80,20.80,20.80,20.80,21.85,1,100,2080.00,
526113,UNIROYAL MAR,XT,Q,13.74,13.74,13.06,13.06,13.06,13.74,6,1000,13400.00,
526117,SHERVANI IND,X ,Q,648.00,648.00,585.10,618.10,618.10,638.15,38,309,191596.00,
526133,SUPERTEX IND,X ,Q,5.87,5.87,5.70,5.70,5.70,5.99,9,2120,12106.00,
526137,SHETRON LTD ,X ,Q,53.00,56.00,51.10,52.85,52.85,54.35,20,572,30813.00,
526139,TRANSGENE BI,XT,Q,2.26,2.37,2.16,2.37,2.37,2.26,12,17600,40693.00,
526143,MPL         ,XT,Q,18.55,18.55,17.00,17.60,17.50,17.70,81,36131,665942.00,
526159,NIKHIL ADHSV,X ,Q,255.00,263.00,247.35,263.00,263.00,253.85,13,283,73519.00,
526161,SPENTA INT. ,X ,Q,136.15,136.15,135.65,135.90,135.65,135.60,5,22,2989.00,
526169,MULTIBASE I ,X ,Q,601.00,636.00,601.00,631.30,631.30,629.90,131,3207,2013163.00,
526173,ANDREW YULE ,B ,Q,29.95,29.95,29.40,29.60,29.60,29.60,233,59172,1749905.00,
526179,LUDOLOW JUTE,X ,Q,91.60,91.60,87.75,88.65,88.65,89.00,62,5680,503866.00,
526187,ASHRAM ONLIN,XT,Q,2.45,2.45,2.45,2.45,2.45,2.36,4,2500,6125.00,
526193,ROYAL CUSHIO,XT,Q,8.87,8.87,8.03,8.86,8.86,8.45,8,1560,13727.00,
526217,HITECHCORP  ,B ,Q,158.30,162.00,158.00,160.00,160.00,162.30,6,811,129736.00,
526225,BLOOM DEKOR ,X ,Q,45.00,46.45,45.00,45.50,45.50,45.00,6,724,32917.00,
526227,FILATEX INDI,B ,Q,175.75,176.40,171.05,171.60,171.60,176.05,117,6222,1072970.00,
526235,MERCATOR    ,B ,Q,34.45,35.20,33.90,34.15,34.15,34.30,580,164811,5685247.00,
526241,AMRAPALI IND,X ,Q,5.45,5.65,4.86,5.64,5.03,5.22,28,9578,51193.00,
526247,PREMIER EXPL,B ,Q,358.00,361.70,352.00,358.00,358.00,359.30,80,2590,924286.00,
526263,MOLD-TEK TEC,B ,Q,51.00,51.00,51.00,51.00,51.00,50.65,3,500,25500.00,
526285,DIVYAJYOTI I,X ,Q,9.00,9.00,9.00,9.00,9.00,8.67,1,50,450.00,
526299,MPHASIS LTD ,A ,Q,918.05,954.00,897.00,903.05,903.05,909.05,959,11860,10872265.00,
526325,ORIENT PRESS,B ,Q,272.40,273.80,269.00,270.05,273.45,274.95,44,10288,2799545.00,
526355,DURO PACK   ,XT,Q,19.90,19.90,19.90,19.90,19.90,19.95,2,35,696.00,
526365,SWARNASA    ,X ,Q,20.00,20.95,19.00,19.05,19.05,20.05,26,41136,793534.00,
